id;Genus;Species;Variant;Name;protected;edibilityId
191;Hygrophoropsis;aurantiaca;(Wulf:Fr) Maire;Lažna lisičica;FALSE;3
192;Hygrophorus;agathosmus;(Fr) Fr;Mirisna puževica, bademova puževica;FALSE;5
193;Hygrophorus;aureus;(Arrh.)Fries;Zlatna puzevica;TRUE;7
194;Hygrophorus;chrysodon;(Batsch:Fr) Fr;Zlatnožuta puževica, zlatnozuba puževica, zlatnomrljasta puževica;FALSE;5
195;Hygrophorus;dichrous;;;FALSE;6
196;Hygrophorus;hypothejus;(Fr.: Fr.) Fr.;Kasna puzevica,Jesenja puzevica;TRUE;7
197;Hygrophorus;latitabundus;Britzelm.;Viskozna puževica;FALSE;7
198;Hygrophorus;lucorum;Kalchbr.;Ariševa puževica;TRUE;5
199;Hygrophorus;marzuolus;(Fr:Fr) Bresadola;Ožujka, martovka, marčnica, ožujska puževica, snježnica, proljetna sočnica, marčevka;TRUE;7
200;Hygrophorus;nemoreus;(Pers:Fr) Fr;Tupoglavka, tupoglava puževica, šumska puževica;FALSE;6
201;Hygrophorus;penarius;Fr.;Suha puževica, tvrda puževica;FALSE;7
202;Hygrophorus;persicolor;;;FALSE;3
203;Hygrophorus;poetarum;Heim;Pjesnička puževica;TRUE;6
204;Hygrophorus;russula;(Sch:Fr) Quelet;Medenka, medena puževica, crvenomrljasta puževica, voštana puževica, pjegava puževica;FALSE;6
205;Hypholoma;fasciculare;(Huds:Fr) Kummer;Sumporača, prava sumporača, obična sumporača;FALSE;2
206;Hypholoma;sublateritium;(Fr) Quelet;Crvenkasta panjevčica, crvenkasta sumporača, ciglastocrvena sumporača;FALSE;4
207;Hypomyces;rosellus;(Alb. & Sch.) Tul.;-;FALSE;3
208;Hypoxylon;fragiforme;(Pers.) J. Kickx f.;-;FALSE;3
209;Inocybe;asterospora;Quelet;Zvjezdastosporna cjepača, zvjezdasta cjepača;FALSE;2
210;Inocybe;erubescens;A. Blytt;Crvenkasta cjepača, Patouillardova cjepača;FALSE;1
211;Inonotus;dryadeus;(Pers:Fr) Murr.;Hrastov kopitar;FALSE;3
212;Inonotus;hispidus;;;FALSE;3
213;Inonotus;hispidus;"(Bull.;Fr.)P.Karst.";Cupavi rupicar;FALSE;5
214;Inonotus;obliquus;;Chaga, Čaga;FALSE;8
215;Kuehneromyces er;mutabilis;(Scop:Fr) Smith & Sing;Panjevčica, aromatična panjevčica, promijenljiva ljuskavica;FALSE;7
216;Laccaria;amethystina;(Huds.) Cooke;Ljubičasta gljivica, ljubičasta lakovka;FALSE;5
217;Laccaria;laccata;(Scop:Fr) Cooke;Crvenkasta gljivica, obična lakovka;FALSE;5
218;Lactarius;chrysorrheus;;Lažna rujnica;FALSE;3
219;Lactarius;deliciosus;(L:Fr) SF Gray;Rujnica, brinovka;FALSE;7
220;Lactarius;deterrimus;;;FALSE;6
221;Lactarius;flavidus;Boud.;Žućkasta mliječnica;FALSE;3
222;Lactarius;glyciosmus;(Fr:Fr) Fr;Kokosova mliječnica, pahuljičasta mliječnica;FALSE;3
223;Lactarius;necator;;;FALSE;3
224;Lactarius;piperatus;(Scop:Fr) Pers;Mliječnica, paprena mliječnica, mliječ, paprenjača, paprenjaci;FALSE;4
225;Lactarius;quietus;(Fr:Fr) Fr;Hrastova mliječnica;FALSE;4
226;Lactarius;salmonicolor;Heim & Leclair;Jelova rujnica, lososova rujnica;FALSE;5
227;Lactarius;sanguifluus;(Paulet:Fr) Fr;Krvna rujnica, krvotočna rujnica, vrsovnica, južnjačka rujnica, žrnovčica;FALSE;7
228;Lactarius;scrobiculatus;;;FALSE;3
229;Lactarius;torminosus;(Schff. Ex Fr.) Gray;Runjava mliječnica, brezovka, lažna rujnica;FALSE;3
230;Lactarius;uvidus;;;FALSE;3
231;Lactarius;volemus;(Fr:Fr) Fr;Presnac, sirovka, pečenica, pastirska mliječnica, prijesna mliječnica, sirogriz, samojetka;FALSE;6
232;Laetiporus;sulphureus;(Bull.) Bondar. & Sing.;Žuti kruh, sumporasti žbunac, šumsko pile;FALSE;5
233;Langermannia;gigantea;(Batsch) Rostk.;Golema puhara, velika ćelavica, gigantska puhara, najveća puhara;FALSE;6
234;Lasiosphaeria;ovina;(Pers.)Ces.&De Not.;-;FALSE;3
235;Lasiosphaeria;spermoides;(Hoffm.)Ces.&De Not.;-;FALSE;3
236;Leccinum;aurantiacum;(Bull) SF Gray;Crveni hrapavac, trepetljikin turčin, topolov turčin, turčin, topolin hrapavac, palčec;FALSE;6
237;Leccinum;carpini;(Schulzer) Moser ex Reid;Grabov djed, grabov dedek, grabov vrganj, grabovac, sivi hrapavac;FALSE;6
238;Leccinum;crocipodium;(Letell.) Watling;Žuti djed, žuti dedek, plemeniti hrapavac, djed kornjačar;FALSE;6
239;Leccinum;duriusculum;;;FALSE;7
240;Leccinum;quercinum;(Pilat)Green & Watling;Hrastov turčin;FALSE;7
241;Leccinum;scabrum;(Bull:Fr) SF Gray;Brezov djed, pravi djed, dedek, obični hrapavac, kapucin, pasji vrganj, brezovac, kravarik;FALSE;6
242;Lentinellus;cochleatus;(Hoffm:Fr) Karsten;Žilava aniska, anisova žilavka;FALSE;4
243;Lentinellus;flabelliformis;;;FALSE;3
244;Lentinula;edodes;(Berk.) Pegler;Shii-take, šitake, mirisna aniska;FALSE;8
245;Lentinus;conchatus;(Bull:Fr) Schroeter;Školjkasta busenjača;FALSE;4
246;Lentinus;tigrinus;(Bull:Fr) Fr;Busenasta tigrica, tigrasta busenjača, tigrasta pilašica, vrbovača;FALSE;4
247;Leocarpus;fragilis;;;FALSE;3
248;Leotia;lubrica;(Scop:Fr) Pers.;Glatka kapica, žuti čavlić;FALSE;3
